@RELATION beta

@ATTRIBUTE A {yes}
@ATTRIBUTE B {yes}
@ATTRIBUTE C {yes}
@ATTRIBUTE D {yes}
@ATTRIBUTE E {yes}
@ATTRIBUTE F {yes}
@ATTRIBUTE G {yes}
@ATTRIBUTE H {yes}
@ATTRIBUTE I {yes}
@ATTRIBUTE K {yes}
@ATTRIBUTE L {yes}
@ATTRIBUTE M {yes}
@ATTRIBUTE N {yes}
@ATTRIBUTE P {yes}
@ATTRIBUTE Q {yes}
@ATTRIBUTE R {yes}
@ATTRIBUTE S {yes}
@ATTRIBUTE T {yes}
@ATTRIBUTE V {yes}
@ATTRIBUTE W {yes}
@ATTRIBUTE X {yes}
@ATTRIBUTE Y {yes}
@ATTRIBUTE Z {yes}

@Data
?, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?
yes, ?, ?, ?, yes, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, yes, yes, ?, ?, ?
?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?
?, ?, ?, ?, yes, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, yes, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?
?, ?, ?, yes, yes, yes, yes, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?
?, ?, ?, yes, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, yes, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
?, ?, yes, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, yes, ?, ?, yes, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, yes, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, yes, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?
?, ?, yes, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, yes, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, yes, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, yes, ?, ?, yes, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?
yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, yes, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?
?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
yes, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, yes, ?, ?, ?, yes, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
yes, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, yes, ?, yes, ?
yes, ?, yes, ?, ?, ?, yes, ?, ?, yes, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, yes, ?, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, yes, ?, yes, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, yes, yes, ?, yes, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?
?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, yes, ?, ?, ?, ?, ?, yes, yes, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, yes, ?, ?, yes, ?, ?, ?, ?, yes, ?, yes, ?, ?, yes, yes, yes, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, yes, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, yes, ?, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, ?, yes, ?, yes, yes, ?, ?, yes, yes, yes, ?, ?, yes, yes, ?, ?, yes, ?
?, ?, ?, ?, yes, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, yes, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?
?, ?, ?, yes, ?, yes, yes, ?, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, yes, ?, yes, ?, yes, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, yes, yes, ?, ?, ?, yes, ?, ?, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?
?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, yes, ?, ?, ?, yes, ?, ?, ?
?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?
yes, ?, ?, ?, yes, ?, ?, ?, ?, yes, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, yes, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, yes, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, yes, ?, yes, ?, ?, yes, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, yes, yes, ?, ?, ?, ?, ?, yes, yes, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?
?, ?, ?, yes, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, yes, ?, yes, ?, ?, ?, yes, ?, ?, yes, ?, ?, ?, ?, ?
